timestamp,consommation_liters,pression_bar,temperature_c,occupants,jour_semaine,est_fin_semaine,fuite_detectee
2025-01-01 00:00:00,26.4901424590337,3.030496127190919,13.929031617076669,2,2,0,0
2025-01-01 00:30:00,24.585207096486446,3.0186343566464586,16.167003221678083,1,2,0,0
2025-01-01 01:00:00,44.550654533019596,2.4817427309479942,14.415713633729142,3,2,0,1
2025-01-01 01:30:00,45.926217676582326,3.067963923319425,18.66250828167672,2,2,0,1
2025-01-01 02:00:00,31.79753987582999,3.4931316327286983,25.18307118877148,3,2,0,0
2025-01-01 02:30:00,31.79758912915246,2.6903071523692823,13.373747057152773,1,2,0,0
2025-01-01 03:00:00,40.34424016432039,3.6193930604202373,24.004922986610485,1,2,0,0
2025-01-01 03:30:00,37.90890590525694,3.3951099284337354,13.309967565918674,1,2,0,0
2025-01-01 04:00:00,36.581957898961726,2.906306671211585,12.914236725018695,2,2,0,0
2025-01-01 04:30:00,39.618061187524475,3.1433881450648613,22.91156771005928,3,2,0,0
2025-01-01 05:00:00,38.098634315898636,3.8393287230564135,23.5316182680457,2,2,0,0
2025-01-01 05:30:00,38.09169813362526,3.4934191254023466,23.108459620575925,1,2,0,0
2025-01-01 06:00:00,75.39033718219534,3.2035134619592593,10.105215550691153,1,2,0,1
2025-01-01 06:30:00,34.260159266026605,3.1049266732156067,15.204294131567696,1,2,0,0
2025-01-01 07:00:00,34.314133896796925,3.230643628180664,22.93793155201993,3,2,0,0
2025-01-01 07:30:00,37.802024806613105,2.995294576823079,18.249251043383367,2,2,0,0
2025-01-01 08:00:00,34.95188769576331,2.3581001977123943,11.557842922815215,3,2,0,0
2025-01-01 08:30:00,38.933123054552404,4.016871164213892,20.74990763475265,2,2,0,0
2025-01-01 09:00:00,32.88252949123458,3.2621299996797606,13.711156446051177,1,2,0,0
2025-01-01 09:30:00,31.36969061379234,3.359258906049015,28.76714909035327,1,2,0,0
2025-01-01 10:00:00,36.89694630676466,3.1768369000492367,27.26904877450955,3,2,0,0
2025-01-01 10:30:00,31.822671098540393,2.905953279710165,21.624584558133403,3,2,0,0
2025-01-01 11:00:00,29.084870290601586,3.125630207620492,26.16604022861864,2,2,0,0
2025-01-01 11:30:00,24.608041117897443,2.5602420951222755,18.388748100740287,1,2,0,0
